1072;-12237;640
1149;-10271;9866
23;-9803;9855
1067;-7195;9929
1020;-6969;875
1062;-6457;654
639;-5932;9809
1186;-5474;496
1184;-4972;9997
1016;-4836;9725
8;-4516;205
8;-4493;9870
1067;-4325;9930
1166;-4303;9848
1029;-4207;278
40;-4178;9859
1083;-4078;422
638;-3965;9967
1021;-3789;9892
1062;-3722;9917
1024;-3681;9969
1082;-3676;9930
14;-3615;664
33;-3575;9991
78;-3552;9925
640;-3520;9940
43;-3502;158
43;-3486;548
43;-3426;9910
1073;-3411;9918
81;-3396;9953
155;-3395;9931
1078;-3292;25
1051;-3267;9920
25;-3206;228
65;-3179;9975
42;-3177;847
1023;-3096;358
40;-3095;9991
72;-3094;9971
1063;-3071;9961
53;-3052;9991
1063;-3051;9997
28;-3035;9899
49;-3008;9933
1094;-2949;9975
156;-2915;9890
639;-2885;9842
119;-2834;103
1071;-2829;9985
29;-2825;9879
1098;-2799;9920
80;-2798;9882
640;-2791;335
9;-2781;9975
1083;-2750;9995
929;-2731;9994
18;-2706;9873
1057;-2704;9829
1024;-2679;9897
71;-2647;9945
22;-2582;226
1074;-2542;3
1052;-2529;9943
1003;-2515;9940
25;-2500;9951
76;-2414;9977
100;-2405;9987
167;-2370;9957
1173;-2364;9940
164;-2348;9979
33;-2287;169
12;-2240;9950
1081;-2221;9855
1027;-2214;9961
67;-2213;9939
79;-2204;161
161;-2191;9999
33;-2166;177
33;-2166;185
166;-2166;9990
1077;-2165;9967
1070;-2158;9913
8;-2136;9874
1078;-2112;9854
1012;-2108;9929
22;-2105;9956
33;-2093;9899
94;-2070;9934
1176;-2067;9967
1077;-2052;9999
114;-2048;9942
637;-2047;278
23;-2046;9856
1159;-2045;9999
164;-2036;152
78;-2032;9965
46;-2016;190
156;-2011;48
1079;-2010;20
1075;-1967;9999
1170;-1922;9984
1079;-1915;9964
1069;-1906;9896
974;-1896;9893
639;-1869;9811
83;-1868;9999
644;-1867;9999
36;-1856;9979
1072;-1842;9953
1180;-1820;9910
71;-1805;9953
114;-1800;101
36;-1793;167
28;-1783;9981
71;-1770;19
1167;-1766;9944
97;-1759;9971
108;-1753;9984
159;-1752;9857
154;-1748;9958
156;-1739;374
21;-1737;570
84;-1736;9981
14;-1716;9849
108;-1715;9894
77;-1705;9999
1019;-1701;9895
1080;-1682;9965
1098;-1670;787
1081;-1662;9975
1061;-1661;9949
78;-1659;22
56;-1653;9999
94;-1635;220
1089;-1628;9982
19;-1626;9857
46;-1621;927
955;-1592;9874
45;-1588;9997
81;-1585;9997
100;-1580;9983
79;-1565;107
1016;-1553;9808
6;-1547;9831
33;-1535;241
109;-1532;9967
832;-1527;9758
34;-1525;9942
325;-1522;305
94;-1515;309
100;-1499;9982
46;-1476;229
109;-1475;107
46;-1470;234
67;-1460;9988
162;-1448;9969
1079;-1446;9946
863;-1446;9868
1173;-1436;543
10;-1431;9895
79;-1419;248
1080;-1408;9940
78;-1401;9964
640;-1389;9915
641;-1386;9991
119;-1385;216
79;-1385;215
1187;-1384;9983
974;-1374;483
116;-1357;396
43;-1350;9965
66;-1342;9885
88;-1341;9986
94;-1325;321
1173;-1320;9949
64;-1305;9999
931;-1296;9987
79;-1290;223
1180;-1283;264
1074;-1283;9813
94;-1278;9932
1022;-1275;9963
79;-1268;207
157;-1267;9960
33;-1261;236
168;-1260;9868
1188;-1254;9999
79;-1244;255
830;-1243;9899
152;-1243;9862
38;-1238;9985
94;-1235;246
67;-1231;9889
1082;-1223;9965
88;-1220;9987
14;-1214;9845
1019;-1209;9870
1081;-1209;454
114;-1207;9944
31;-1204;9981
80;-1196;26
94;-1196;278
937;-1178;9997
1021;-1176;9988
116;-1175;48
1063;-1174;75
1074;-1165;9973
79;-1165;259
83;-1163;1087
102;-1148;338
116;-1143;42
1184;-1140;42
83;-1139;1078
94;-1138;343
10;-1137;489
1175;-1137;8
80;-1132;9962
119;-1124;226
40;-1122;653
116;-1117;9940
